service_id,date,exception_type
4281:GVB:16:A:WE,20170731,1
4281:GVB:16:A:WE,20170801,1
4281:GVB:16:A:WE,20170802,1
4281:GVB:16:A:WE,20170803,1
4281:GVB:16:A:WE,20170804,1
4281:GVB:16:A:WE,20170807,1
4281:GVB:16:A:WE,20170808,1
4281:GVB:16:A:WE,20170809,1
4281:GVB:16:A:WE,20170810,1
4281:GVB:16:A:WE,20170811,1
4281:GVB:38:W:WE,20170327,1
4281:GVB:38:W:WE,20170328,1
4281:GVB:247:W:ZA,20171125,1
4281:GVB:247:W:ZA,20171202,1
4438:GVB:752:W:WE,20170413,1
4438:GVB:752:W:WE,20170414,1
4438:GVB:752:W:WE,20170417,1
4281:GVB:69:W:WE,20170309,1
4281:GVB:69:W:WE,20170310,1
4281:GVB:463:AA:WE,20171009,1
4281:GVB:463:AA:WE,20171010,1
4281:GVB:463:AA:WE,20171011,1
4281:GVB:463:AA:WE,20171012,1
4281:GVB:463:AA:WE,20171013,1
4281:GVB:463:AA:WE,20171016,1
4281:GVB:463:AA:WE,20171017,1
4281:GVB:463:AA:WE,20171018,1
4281:GVB:463:AA:WE,20171019,1
4281:GVB:463:AA:WE,20171020,1
4281:GVB:463:AA:WE,20171023,1
4281:GVB:463:AA:WE,20171024,1
4281:GVB:463:AA:WE,20171025,1
4281:GVB:463:AA:WE,20171026,1
4281:GVB:463:AA:WE,20171027,1
4281:GVB:463:AA:WE,20171030,1
4281:GVB:463:AA:WE,20171031,1
4281:GVB:463:AA:WE,20171101,1
4281:GVB:31:W:WE,20170322,1
4281:GVB:910:W:ZA,20170527,1
4281:GVB:240:W:WE,20170629,1
4281:GVB:240:W:WE,20170630,1
4640:GVB:269:W:WE,20170324,1
4640:GVB:269:W:WE,20170327,1
4640:GVB:269:W:WE,20170328,1
4640:GVB:269:W:WE,20170329,1
4640:GVB:269:W:WE,20170330,1
4640:GVB:269:W:WE,20170331,1
4640:GVB:269:W:WE,20170403,1
4640:GVB:269:W:WE,20170404,1
4640:GVB:269:W:WE,20170405,1
4640:GVB:269:W:WE,20170406,1
4640:GVB:269:W:WE,20170407,1
4640:GVB:269:W:WE,20170410,1
4640:GVB:269:W:WE,20170411,1
4640:GVB:269:W:WE,20170412,1
4640:GVB:269:W:WE,20170413,1
4640:GVB:269:W:WE,20170414,1
4640:GVB:269:W:WE,20170417,1
4640:GVB:269:W:WE,20170418,1
4640:GVB:269:W:WE,20170419,1
4640:GVB:269:W:WE,20170420,1
4640:GVB:269:W:WE,20170421,1
4640:GVB:269:W:WE,20170424,1
4640:GVB:269:W:WE,20170425,1
4640:GVB:269:W:WE,20170426,1
4640:GVB:269:W:WE,20170427,1
4640:GVB:269:W:WE,20170428,1
4640:GVB:269:W:WE,20170501,1
4640:GVB:269:W:WE,20170502,1
4640:GVB:269:W:WE,20170503,1
4640:GVB:269:W:WE,20170504,1
4640:GVB:269:W:WE,20170505,1
4640:GVB:269:W:WE,20170508,1
4640:GVB:269:W:WE,20170509,1
4640:GVB:269:W:WE,20170510,1
4640:GVB:269:W:WE,20170511,1
4640:GVB:269:W:WE,20170512,1
4640:GVB:269:W:WE,20170515,1
4640:GVB:269:W:WE,20170516,1
4640:GVB:269:W:WE,20170517,1
4640:GVB:269:W:WE,20170518,1
4640:GVB:269:W:WE,20170519,1
4640:GVB:269:W:WE,20170522,1
4640:GVB:269:W:WE,20170523,1
4640:GVB:269:W:WE,20170524,1
4640:GVB:269:W:WE,20170525,1
