stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
GVB:00187,00187,"Amsterdam, Geinbrug",52.304479,5.012773,0,stoparea:GVB:00186,,0,,
GVB:00196,00196,"Amsterdam, Station Ganzenhoef",52.32282,4.974174,0,stoparea:GVB:09546,,0,,
GVB:00197,00197,"Amsterdam, Annie Romeinplein",52.321733,4.971618,0,stoparea:GVB:00197,,1,,
GVB:00198,00198,"Amsterdam, Annie Romeinplein",52.32143,4.969978,0,stoparea:GVB:00197,,1,,
GVB:00199,00199,"Amsterdam, Station Ganzenhoef",52.323087,4.973292,0,stoparea:GVB:09546,,0,,
GVB:00200,00200,"Amsterdam, Station Ganzenhoef",52.322976,4.975082,0,stoparea:GVB:09546,,0,,
GVB:00201,00201,"Amsterdam, Reigersbroeck",52.310552,5.000962,0,stoparea:GVB:00201,,0,,
GVB:00202,00202,"Amsterdam, Reigersbroeck",52.311331,4.999811,0,stoparea:GVB:00201,,0,,
GVB:00205,00205,"Amsterdam, Station Holendrecht",52.297168,4.958654,0,stoparea:GVB:09526,,1,A,
GVB:00206,00206,"Amsterdam, Rhenenhof",52.29808,4.970036,0,stoparea:GVB:00206,,1,,
GVB:00207,00207,"Amsterdam, Rhenenhof",52.298379,4.970825,0,stoparea:GVB:00206,,0,,
GVB:00209,00209,"Amsterdam, Hakfort",52.307987,4.955764,0,stoparea:GVB:00209,,1,,
GVB:00210,00210,"Amsterdam, Hakfort",52.308049,4.955411,0,stoparea:GVB:00209,,1,,
GVB:00211,00211,"Amsterdam, Station Holendrecht",52.29707,4.958889,0,stoparea:GVB:09526,,1,B,
GVB:00220,00220,"Amsterdam, Gaasp",52.314813,4.992947,0,stoparea:GVB:00220,,0,,
GVB:00221,00221,"Amsterdam, Gaasp",52.31437,4.992144,0,stoparea:GVB:00220,,0,,
GVB:00235,00235,"Amsterdam, Station Reigersbos",52.296323,4.973746,0,stoparea:GVB:09528,,0,,
GVB:00236,00236,"Amsterdam, Hofgeest",52.313333,4.957618,0,stoparea:GVB:00164,,0,,
GVB:00238,00238,"Amsterdam, Anton de Komplein",52.316034,4.954131,0,stoparea:GVB:00237,,1,,
GVB:00239,00239,"Amsterdam, Anton de Komplein",52.316527,4.955974,0,stoparea:GVB:00239,,1,,
GVB:00250,00250,"Diemen, Station Diemen Zuid",52.330811,4.956686,0,stoparea:GVB:09542,,1,,
GVB:00251,00251,"Diemen, Station Diemen Zuid",52.330928,4.956817,0,stoparea:GVB:09542,,1,,
GVB:00252,00252,"Diemen, Tarwekamp",52.332898,4.954876,0,stoparea:GVB:00252,,1,,
GVB:00253,00253,"Diemen, Tarwekamp",52.333122,4.954727,0,stoparea:GVB:00252,,0,,
GVB:00254,00254,"Diemen, Biesbosch",52.330736,4.94608,0,stoparea:GVB:00254,,0,,
GVB:00255,00255,"Diemen, Biesbosch",52.330262,4.944339,0,stoparea:GVB:00254,,,,
GVB:00256,00256,"Duivendrecht, Kruidenommegang",52.327933,4.939287,0,stoparea:GVB:00256,,1,,
GVB:00257,00257,"Duivendrecht, Kruidenommegang",52.328005,4.939389,0,stoparea:GVB:00256,,1,,
GVB:00258,00258,"Duivendrecht, Burg. van Damstraat",52.334143,4.941557,0,stoparea:GVB:00258,,1,,
GVB:00259,00259,"Duivendrecht, Burg. van Damstraat",52.334333,4.941746,0,stoparea:GVB:00258,,1,,
GVB:00261,00261,"Duivendrecht, Lunaweg",52.332229,4.93694,0,stoparea:GVB:00260,,0,,
GVB:00266,00266,"Duivendrecht, Korenbloemstraat",52.329697,4.939944,0,stoparea:GVB:00266,,1,,
GVB:00267,00267,"Duivendrecht, Korenbloemstraat",52.330021,4.940087,0,stoparea:GVB:00266,,1,,
GVB:00268,00268,"Duivendrecht, Astronautenweg",52.329873,4.934235,0,stoparea:GVB:00268,,0,,
GVB:00269,00269,"Duivendrecht, Astronautenweg",52.329911,4.934851,0,stoparea:GVB:00268,,0,,
GVB:00295,00295,"Amsterdam, Dalsteindreef",52.324826,4.94234,0,stoparea:GVB:00295,,0,,
GVB:00296,00296,"Amsterdam, Dalsteindreef",52.324808,4.942413,0,stoparea:GVB:00295,,0,,
GVB:00304,00304,"Amsterdam, Gaasperplas",52.31121,4.985104,0,stoparea:GVB:09550,,0,,
GVB:00305,00305,"Amsterdam, Leusdenhof",52.309812,4.978489,0,stoparea:GVB:00305,,0,,
GVB:00306,00306,"Amsterdam, Leusdenhof",52.309901,4.978371,0,stoparea:GVB:00305,,0,,
GVB:00307,00307,"Amsterdam, Leerdamhof",52.307405,4.974024,0,stoparea:GVB:00307,,0,,
GVB:00314,00314,"Amsterdam, Leerdamhof",52.305388,4.97526,0,stoparea:GVB:00307,,1,,
GVB:00315,00315,"Amsterdam, Gaasperplas",52.311254,4.985075,0,stoparea:GVB:09550,,0,,
